No;outcome;treatment;confounders_1;confounders_2;confounders_3;true_effect
1;4.727208236;5.129815786;-0.952221244;1.023119039;1;4.259631571
2;4.898454921;5.574050608;-0.190810364;-0.390244492;0;5.148101216
3;5.241040021;4.655707624;0.978541813;-0.108582403;0;3.311415247
4;-0.570877954;3.601721108;-0.272878453;1.265695162;1;1.203442216
5;6.189133993;6.582102682;0.254647282;1.974126168;1;7.164205364
6;3.432928044;4.853014228;-0.497171778;0.486711459;1;3.706028456
7;6.631728018;6.031664912;-0.085828176;-1.242269105;1;6.063329825
8;4.104629091;4.286865139;-0.416318672;1.463980543;0;2.573730277
9;5.334141607;5.4926209;-0.737685941;0.371958249;1;4.985241799
10;7.048577312;6.660701818;1.75936005;0.502119504;1;7.321403636
11;4.401049521;5.586689772;0.80403417;0.175095606;0;5.173379543
12;2.746136952;4.640680985;-0.466942144;0.899863605;1;3.281361969
13;5.87512961;4.857245491;1.637569806;0.385287076;1;3.714490981
14;2.064063448;4.075130799;0.777559983;1.396328627;1;2.150261599
15;3.643852606;5.388838651;0.073705091;-0.717806046;0;4.777677302
16;6.680279991;5.754205094;0.368940146;-0.660991102;1;5.508410188
17;3.442209009;5.703914076;-0.355464333;-0.710112794;0;5.407828152
18;-0.313436976;4.013190587;-1.426994088;2.107824486;0;2.026381174
19;8.800675298;7.479448364;0.429169105;-0.071581866;1;8.958896727
20;3.749502299;5.565670038;0.608398142;0.079131607;0;5.131340075
21;5.417637448;6.162866454;0.809255231;1.117414466;0;6.325732908
22;2.072751952;4.588633999;-1.678719436;0.329131123;0;3.177267998
23;7.841512075;6.47926304;-0.741548787;-0.939646458;1;6.95852608
24;5.437000339;6.182156202;-1.627123782;1.134533133;1;6.364312404
25;6.702303554;5.903078402;2.070954774;1.095570292;0;5.806156805
26;6.935132922;5.142747849;0.437972934;-0.473921346;1;4.285495698
27;3.491040672;5.222135021;0.412075884;0.74203922;0;4.444270043
28;2.061932196;4.298809848;-0.549347928;1.925149539;0;2.597619696
29;7.405028917;6.393885617;1.765167115;-0.171952629;1;6.787771234
30;2.016087603;4.68322077;-1.85850763;-0.424058869;1;3.36644154
31;3.590287654;5.377002522;0.15771704;0.937522711;0;4.754005045
32;6.61287904;5.437863553;0.601679264;-0.330721143;1;4.875727106
33;6.993124734;6.280687967;1.041239021;1.583911573;1;6.561375933
34;4.047922808;4.627728531;1.700330819;-0.466127384;0;3.255457062
35;6.579062585;5.450913023;-2.049171074;-1.099752533;1;4.901826045
36;2.881612656;4.882681079;-1.24446743;-1.643917917;0;3.765362158
37;1.621447285;4.77610571;0.54616945;0.550283445;1;3.55221142
38;4.550705404;5.423209719;0.847398659;1.714547987;1;4.846419438
39;2.199796643;3.949129991;0.53292106;0.389359114;1;1.898259982
40;2.035255688;4.983916803;-0.523048656;-0.287682683;1;3.967833607
41;4.808627813;5.437288641;-0.111588624;1.084854785;1;4.874577281
42;1.543367999;4.153311209;0.464707841;0.158168483;0;2.306622419
43;6.472021264;6.152408316;1.314728878;0.742163319;0;6.304816632
44;3.149549242;4.614753486;-1.330233304;-0.40714994;0;3.229506973
45;9.378001996;6.231675222;0.778615981;-2.049765671;1;6.463350444
46;4.276356313;4.729776399;0.790448668;-0.433451313;1;3.459552798
